Date,Close,High,Low,Open,Volume
07-07-2015,2450.100098,2450.100098,2450.100098,2450.100098,0
08-07-2015,2450.100098,2450.100098,2450.100098,2450.100098,0
09-07-2015,2450.100098,2450.100098,2450.100098,2450.100098,0
10-07-2015,2485,2520,2450,2450,4
13-07-2015,2485,2485,2485,2485,0
14-07-2015,2485,2485,2485,2485,2
15-07-2015,2425.050049,2500,2425.050049,2430,15
16-07-2015,2425.050049,2425.050049,2425.050049,2425.050049,0
17-07-2015,2425.050049,2425.050049,2425.050049,2425.050049,0
20-07-2015,2425.050049,2425.050049,2425.050049,2425.050049,0
21-07-2015,2425.050049,2425.050049,2425.050049,2425.050049,0
22-07-2015,2400,2400,2400,2400,1
23-07-2015,2472,2472,2371.01001,2390,3
24-07-2015,2472,2472,2472,2472,0
27-07-2015,2472,2472,2472,2472,0
28-07-2015,2472,2472,2472,2472,0
29-07-2015,2357,2439,2357,2439,4
30-07-2015,2357,2357,2357,2357,0
31-07-2015,2351,2352,2351,2352,5
03-08-2015,2351,2351,2351,2351,0
04-08-2015,2313.030029,2342,2311,2342,16
05-08-2015,2313.030029,2342,2311,2342,16
06-08-2015,2313.030029,2313.030029,2313.030029,2313.030029,0
07-08-2015,2313.030029,2313.030029,2313.030029,2313.030029,0
10-08-2015,2313.030029,2313.030029,2313.030029,2313.030029,0
11-08-2015,2313.030029,2313.030029,2313.030029,2313.030029,0
12-08-2015,2313.030029,2313.030029,2313.030029,2313.030029,0
13-08-2015,2313.030029,2313.030029,2313.030029,2313.030029,0
14-08-2015,2490,2490,2410,2410,2
17-08-2015,2410,2410,2410,2410,1
18-08-2015,2410,2410,2410,2410,0
19-08-2015,2410,2410,2410,2410,0
20-08-2015,2410,2410,2410,2410,0
21-08-2015,2410,2410,2410,2410,0
24-08-2015,2410,2410,2410,2410,0
25-08-2015,2410,2410,2410,2410,0
26-08-2015,2427,2427,2427,2427,8
27-08-2015,2427,2427,2427,2427,0
28-08-2015,2426,2480,2426,2430,6
31-08-2015,2433,2440,2433,2440,4
01-09-2015,2433,2433,2433,2433,0
02-09-2015,2495,2495,2430,2430,12
03-09-2015,2495,2495,2495,2495,0
04-09-2015,2495,2495,2495,2495,0
07-09-2015,2495,2495,2495,2495,0
08-09-2015,2495,2495,2495,2495,0
09-09-2015,2495,2495,2495,2495,0
10-09-2015,2495,2495,2495,2495,0
11-09-2015,2495,2495,2495,2495,0
14-09-2015,2495,2495,2495,2495,0
15-09-2015,2495,2495,2495,2495,0
16-09-2015,2495,2495,2495,2495,0
18-09-2015,2495,2495,2495,2495,0
21-09-2015,2495,2495,2495,2495,0
22-09-2015,2495,2495,2495,2495,0
23-09-2015,2495,2495,2495,2495,0
24-09-2015,2495,2495,2495,2495,0
28-09-2015,2495,2495,2495,2495,0
29-09-2015,2400,2400,2400,2400,1
30-09-2015,2400,2400,2400,2400,0
01-10-2015,2351,2370,2351,2370,2
05-10-2015,2351,2351,2351,2351,0
06-10-2015,2398,2398,2398,2398,3
07-10-2015,2398,2398,2398,2398,0
08-10-2015,2398,2398,2398,2398,0
09-10-2015,2398,2398,2398,2398,0
12-10-2015,2398,2398,2398,2398,0
13-10-2015,2300,2302,2260,2302,47
14-10-2015,2300,2300,2300,2300,0
15-10-2015,2300,2300,2300,2300,0
16-10-2015,2300,2300,2300,2300,0
19-10-2015,2300,2300,2300,2300,0
20-10-2015,2390,2390,2390,2390,2
21-10-2015,2396.139893,2488,2396,2488,13
23-10-2015,2396.139893,2396.139893,2396.139893,2396.139893,0
26-10-2015,2396.139893,2396.139893,2396.139893,2396.139893,0
27-10-2015,2396.139893,2396.139893,2396.139893,2396.139893,0
28-10-2015,2396.139893,2396.139893,2396.139893,2396.139893,0
29-10-2015,2396.139893,2396.139893,2396.139893,2396.139893,0
30-10-2015,2396.139893,2396.139893,2396.139893,2396.139893,0
02-11-2015,2396.139893,2396.139893,2396.139893,2396.139893,0
03-11-2015,2396.139893,2396.139893,2396.139893,2396.139893,0
04-11-2015,2330.01001,2351,2330.01001,2351,3
05-11-2015,2311.199951,2330,2311.199951,2330,4
06-11-2015,2311.199951,2311.199951,2311.199951,2311.199951,0
09-11-2015,2399,2429.98999,2399,2429.98999,6
10-11-2015,2349,2349,2349,2349,2
13-11-2015,2300,2310,2270,2300,6
16-11-2015,2300,2300,2300,2300,0
17-11-2015,2270,2310,2270,2310,5
18-11-2015,2240,2250,2240,2250,21
19-11-2015,2230,2316,2220.01001,2316,30
20-11-2015,2223.300049,2241,2206.850098,2236,32
23-11-2015,2250,2250,2250,2250,1
24-11-2015,2250,2250,2250,2250,0
26-11-2015,2212,2222,2212,2222,26
27-11-2015,2259,2259,2259,2259,1
30-11-2015,2160.02002,2200,2160,2200,16
01-12-2015,2161.199951,2161.199951,2161.199951,2161.199951,3
02-12-2015,2161.199951,2161.199951,2161.199951,2161.199951,0
03-12-2015,2161.199951,2161.199951,2161.199951,2161.199951,0
04-12-2015,2200,2237,2200,2237,16
07-12-2015,2200,2200,2200,2200,3
08-12-2015,2200,2200,2200,2200,0
09-12-2015,2200,2200,2200,2200,0
10-12-2015,2200,2200,2200,2200,0
11-12-2015,2130,2150,2116,2145,29
14-12-2015,2130,2130,2130,2130,0
15-12-2015,2130,2130,2130,2130,0
16-12-2015,2130,2130,2130,2130,0
17-12-2015,2130,2130,2130,2130,0
18-12-2015,2130,2130,2130,2130,0
21-12-2015,2130,2130,2130,2130,0
22-12-2015,2199.98999,2199.98999,2179.98999,2179.98999,5
23-12-2015,2187,2187,2187,2187,2
24-12-2015,2187,2187,2187,2187,0
28-12-2015,2187,2187,2187,2187,0
29-12-2015,2187,2187,2187,2187,0
30-12-2015,2130,2130,2130,2130,3
31-12-2015,2131.100098,2131.100098,2131.100098,2131.100098,1
01-01-2016,2131.100098,2131.100098,2131.100098,2131.100098,0
04-01-2016,2131.100098,2131.100098,2131.100098,2131.100098,0
05-01-2016,2131.100098,2131.100098,2131.100098,2131.100098,0
06-01-2016,2187.699951,2187.699951,2131,2131,10
07-01-2016,2187.699951,2187.699951,2187.699951,2187.699951,0
08-01-2016,2187.699951,2187.699951,2187.699951,2187.699951,0
11-01-2016,2152,2152,2152,2152,2
12-01-2016,2152,2152,2152,2152,0
13-01-2016,2152,2152,2152,2152,0
14-01-2016,2152,2152,2152,2152,0
15-01-2016,2152,2152,2152,2152,0
18-01-2016,2113,2113,2112,2112,40
19-01-2016,2090,2112.100098,2070,2112.100098,9
20-01-2016,2090,2090,2090,2090,0
21-01-2016,2090,2090,2090,2090,0
22-01-2016,2090,2090,2090,2090,0
25-01-2016,2071.22998,2119.800049,2021.5,2021.5,27
27-01-2016,2195,2195,2195,2195,5
28-01-2016,2195,2195,2195,2195,0
29-01-2016,2145,2145,2060,2060,10
01-02-2016,2095,2095,2095,2095,10
02-02-2016,2074,2100,2074,2100,5
03-02-2016,2229,2229,2179,2179,37
04-02-2016,2349.899902,2349.899902,2277,2277,28
05-02-2016,2407.330078,2410,2370,2370,29
08-02-2016,2355,2355,2355,2355,2
09-02-2016,2355,2355,2355,2355,0
10-02-2016,2550,2569.98999,2498,2498,69
11-02-2016,2550,2550,2550,2550,0
12-02-2016,2550,2550,2550,2550,0
15-02-2016,2550,2550,2550,2550,0
16-02-2016,2557.330078,2599,2536,2550,80
17-02-2016,2554.399902,2554.399902,2510,2550,51
18-02-2016,2550,2550,2550,2550,9
19-02-2016,2600,2600,2550,2550,11
22-02-2016,2600,2600,2600,2600,0
23-02-2016,2600,2600,2600,2600,0
24-02-2016,2620,2620,2620,2620,5
25-02-2016,2600,2600,2600,2600,64
26-02-2016,2600,2600,2600,2600,0
29-02-2016,2600,2600,2600,2600,0
01-03-2016,2600,2600,2572,2572,10
02-03-2016,2520.300049,2560,2520.300049,2560,11
03-03-2016,2600,2600,2600,2600,6
04-03-2016,2675,2675,2565,2565,66
08-03-2016,2650,2650,2642,2642,20
09-03-2016,2601,2607,2601,2607,11
10-03-2016,2620,2620,2620,2620,5
11-03-2016,2699,2700,2699,2699,31
14-03-2016,2700,2700,2690,2690,12
15-03-2016,2650,2651,2650,2651,2
16-03-2016,2650,2650,2650,2650,0
17-03-2016,2650,2650,2650,2650,0
18-03-2016,2702,2702,2700,2700,12
21-03-2016,2628,2724.98999,2628,2724.98999,14
22-03-2016,2628,2628,2628,2628,0
23-03-2016,2628,2628,2628,2628,0
28-03-2016,2628,2628,2628,2628,0
29-03-2016,2628,2628,2628,2628,0
30-03-2016,2628,2628,2628,2628,0
31-03-2016,2628,2628,2628,2628,0
01-04-2016,2628,2628,2628,2628,0
04-04-2016,2580,2601,2580,2601,17
05-04-2016,2580,2580,2580,2580,0
06-04-2016,2595.01001,2595.01001,2595.01001,2595.01001,1
07-04-2016,2595.01001,2595.01001,2595.01001,2595.01001,0
08-04-2016,2700,2734,2700,2734,2
11-04-2016,2710,2710,2699,2699,37
12-04-2016,2710,2710,2710,2710,0
13-04-2016,2740,2740,2740,2740,17
18-04-2016,2750,2750,2750,2750,10
20-04-2016,2750,2750,2750,2750,0
21-04-2016,2760,2760,2750,2750,20
22-04-2016,2760,2760,2760,2760,0
25-04-2016,2769,2769,2720,2720,9
26-04-2016,2730,2730,2713,2713,2
27-04-2016,2730,2730,2730,2730,10
28-04-2016,2730,2750,2730,2750,2
29-04-2016,2826.389893,2899,2770,2770,113
02-05-2016,2826.389893,2826.389893,2826.389893,2826.389893,0
03-05-2016,2800,2830,2800,2805,50
04-05-2016,2800,2800,2800,2800,0
05-05-2016,2801,2860,2760,2760,31
06-05-2016,2815,2835,2790,2790,14
09-05-2016,2848.98999,2848.98999,2780,2812,22
10-05-2016,2848.98999,2848.98999,2848.98999,2848.98999,0
11-05-2016,2775,2775,2775,2775,5
12-05-2016,2808,2820,2750,2820,6
13-05-2016,2886.5,2898,2800,2800,8
16-05-2016,2800,2800,2759,2759,13
17-05-2016,2730.01001,2730.01001,2730.01001,2730.01001,1
18-05-2016,2730.01001,2730.01001,2730.01001,2730.01001,0
19-05-2016,2825,2825,2740,2740,4
20-05-2016,2825,2825,2825,2825,0
23-05-2016,2752.330078,2772,2752.100098,2772,68
24-05-2016,2773.399902,2775,2772,2774,15
25-05-2016,2722.01001,2722.01001,2722.01001,2722.01001,1
26-05-2016,2722.01001,2722.01001,2722.01001,2722.01001,0
27-05-2016,2690,2693,2550,2550,56
30-05-2016,2690,2690,2690,2690,0
31-05-2016,2690,2690,2690,2690,0
01-06-2016,2686,2686,2686,2686,10
02-06-2016,2670.149902,2699,2670.149902,2699,13
03-06-2016,2670.149902,2670.149902,2670.149902,2670.149902,0
06-06-2016,2670.149902,2670.149902,2670.149902,2670.149902,0
07-06-2016,2690,2790,2666,2675,6
08-06-2016,2762.429932,2819.600098,2705,2705,13
09-06-2016,2762.429932,2762.429932,2762.429932,2762.429932,0
10-06-2016,2735,2740,2700,2700,33
13-06-2016,2735,2735,2735,2735,0
14-06-2016,2735,2735,2735,2735,0
15-06-2016,2735,2735,2735,2735,0
16-06-2016,2800,2800,2712,2712,58
17-06-2016,2800,2800,2800,2800,0
20-06-2016,2800,2800,2800,2800,0
21-06-2016,2800,2800,2800,2800,0
22-06-2016,2750,2750,2750,2750,2
23-06-2016,2750,2750,2750,2750,0
24-06-2016,2850,2850,2735.01001,2750,123
27-06-2016,2850,2850,2850,2850,16
28-06-2016,2850,2850,2850,2850,0
29-06-2016,2820,2820,2810,2810,2
30-06-2016,2820,2820,2820,2820,0
01-07-2016,2870,2870,2870,2870,11
04-07-2016,2870,2870,2870,2870,0
05-07-2016,2870,2870,2870,2870,0
07-07-2016,2870,2870,2870,2870,0
08-07-2016,2870,2870,2870,2870,0
11-07-2016,2870,2870,2870,2870,0
12-07-2016,2870,2870,2870,2870,0
13-07-2016,2901,2940,2850,2850,28
