ds,Open,Volume,Close,Close_Lag1,MA7
2015-01-19,2462.8601399375175,3.4017816178855558,2460.126064192847,2453.5710154320736,2450.59747787115
2015-01-20,2462.560553245073,6.528861609090139,2459.6490910318325,2460.126064192847,2452.7724918398667
2015-01-21,2463.3009573557206,0.4770016557839728,2462.076776660855,2459.6490910318325,2454.5624759961142
2015-01-22,2462.492532303457,4.5731349499402505,2460.675174916462,2462.076776660855,2456.314628776008
2015-01-23,2462.997510510793,4.110232186243261,2467.0107491569574,2460.675174916462,2458.7270098803465
2015-01-27,2475.533929292635,8.212727044672334,2475.5925227723756,2467.0107491569574,2462.671627737629
2015-01-28,2476.9956916593214,2.64885982184483,2478.4191668980907,2475.5925227723756,2466.2213636613455
2015-01-29,2476.827675263952,7.162453292869578,2477.2931756006906,2478.4191668980907,2468.673808148181
2015-01-30,2477.8731764002328,7.040085210517338,2483.771595089517,2477.2931756006906,2472.119880156421
2015-02-02,2490.824096212264,7.997629794769312,2491.9270003810166,2483.771595089517,2476.3841978307296
2015-02-03,2491.3405948521618,11.691322851885921,2491.5665034228064,2491.9270003810166,2480.797244760208
2015-02-04,2492.709052932339,6.070851839532826,2493.8880688708246,2491.5665034228064,2484.6368618621887
2015-02-05,2492.3258009531205,10.461677905913794,2492.16014619343,2493.8880688708246,2487.0036652080535
2015-02-06,2493.045555452155,10.159203637526053,2497.9586798160412,2492.16014619343,2489.7950241963326
2015-02-09,2504.516298074334,10.33832353345634,2503.823447192319,2497.9586798160412,2493.585062995136
2015-02-10,2504.435397846805,13.731781008224967,2502.6914836148185,2503.823447192319,2496.2879042130367
2015-02-11,2505.188566006946,7.810287687565294,2504.2742318679648,2502.6914836148185,2498.0517944254575
2015-02-12,2504.1921872267776,11.91042377943452,2501.859580649064,2504.2742318679648,2499.522234029209
2015-02-13,2504.319580630268,11.337777376353882,2507.040141328416,2501.859580649064,2501.401101523151
2015-02-16,2514.2864063830866,10.910902435842814,2511.5755335921262,2507.040141328416,2504.174728294393
2015-02-18,2514.2719890360395,8.200377752032137,2511.6135335207355,2511.5755335921262,2506.125421680778
2015-02-19,2513.0321620749028,12.280738757098224,2509.121121224471,2511.6135335207355,2506.8822322568
2015-02-20,2512.9749011209833,11.73344311319682,2514.2931397663147,2509.121121224471,2508.539611707013
2015-02-23,2522.6119233166714,11.601517665190817,2519.027951008497,2514.2931397663147,2510.6472858699462
2015-02-24,2522.0591137783426,15.025889372102121,2517.7080817079654,2519.027951008497,2512.9113574497896
2015-02-25,2522.381118399202,9.191507014518454,2519.1513259046746,2517.7080817079654,2514.641526674969
2015-02-26,2520.9688249688866,13.424107499705116,2516.610724650902,2519.1513259046746,2515.3608396833656
2015-02-27,2520.6659476047635,13.01616841174432,2521.640942137644,2516.610724650902,2516.793326628638
2015-03-02,2528.9253178608324,13.12225122404586,2525.1850168124893,2521.640942137644,2519.088168855498
2015-03-03,2527.6476518504905,16.53571957770053,2523.165643419429,2525.1850168124893,2520.3556693773717
2015-03-04,2527.0968025747975,10.633404974664193,2523.7474881743947,2523.165643419429,2521.0298889724995
2015-03-05,2524.6626880471554,14.736425761906098,2520.1864975905587,2523.7474881743947,2521.383948384299
2015-03-09,2527.2472309064788,13.279944427881844,2523.386684234785,2520.1864975905587,2521.9889995743147
2015-03-10,2524.4147230624635,16.25996654005221,2519.834082554432,2523.386684234785,2522.449479274819
2015-03-11,2522.2902131680657,9.879573414651235,2518.8817030737077,2519.834082554432,2522.0553022656854
2015-03-12,2518.3062440024905,13.469959212955896,2513.831725760047,2518.8817030737077,2520.4334035439074
2015-03-13,2515.3586242085344,12.332665036443654,2516.298162268186,2513.831725760047,2519.4523348080156
2015-03-16,2515.904406153704,9.86844892090705,2512.5460812996353,2516.298162268186,2517.8521338259075
2015-03-17,2512.3854192332906,12.358902789876064,2508.4983050699398,2512.5460812996353,2516.1823920372476
2015-03-18,2509.8985409018355,5.536555245796558,2507.3982733685816,2508.4983050699398,2513.8983333420756
2015-03-19,2505.9208134776986,8.746310611378927,2502.589234027686,2507.3982733685816,2511.4347835525405
2015-03-20,2503.3869987056005,7.302324933655233,2505.7197219006284,2502.589234027686,2509.554500527815
2015-03-23,2507.8976525326902,4.463576338162063,2506.7197790733785,2505.7197219006284,2508.538508144005
2015-03-24,2506.655637174515,7.0347074855135565,2505.2015919743567,2506.7197790733785,2506.953283816315
2015-03-25,2506.9215056554044,0.40163087574629086,2507.0901620582945,2505.2015919743567,2506.173866781838
2015-03-26,2506.154581652127,3.9088120258693886,2505.70381851894,2507.0901620582945,2505.7746544174092
2015-03-27,2507.2605685395292,2.8672496098797193,2512.65508831064,2505.70381851894,2506.525627980561
2015-03-30,2524.809746261898,1.7945969986871617,2526.9898936584505,2512.65508831064,2510.011436499241
2015-03-31,2528.41854416797,5.104862697611134,2530.322733261695,2526.9898936584505,2513.526152407965
